doc_id,rank_original,rank_modificado,relevant,status,query_id,model
921,,9.0,False,entrou,30,Vector
683,1.0,1.0,False,manteve,30,BM25
513,2.0,2.0,False,manteve,30,BM25
601,3.0,,False,saiu,30,BM25
902,4.0,,False,saiu,30,BM25
633,5.0,6.0,False,manteve,30,BM25
222,6.0,8.0,False,manteve,30,BM25
602,7.0,,False,saiu,30,BM25
1197,8.0,9.0,False,manteve,30,BM25
420,9.0,,False,saiu,30,BM25
45,10.0,,False,saiu,30,BM25
464,,3.0,True,entrou,30,BM25
465,,4.0,False,entrou,30,BM25
918,,5.0,False,entrou,30,BM25
792,,7.0,False,entrou,30,BM25
921,,10.0,False,entrou,30,BM25
51,1.0,,True,saiu,1,Vector
359,2.0,10.0,False,manteve,1,Vector
746,3.0,,False,saiu,1,Vector
12,4.0,,True,saiu,1,Vector
486,5.0,,False,saiu,1,Vector
874,6.0,,False,saiu,1,Vector
878,7.0,,False,saiu,1,Vector
879,8.0,,True,saiu,1,Vector
56,9.0,,True,saiu,1,Vector
13,10.0,,True,saiu,1,Vector
783,,1.0,False,entrou,1,Vector
1162,,2.0,False,entrou,1,Vector
184,,3.0,True,entrou,1,Vector
758,,4.0,False,entrou,1,Vector
880,,5.0,True,entrou,1,Vector
734,,6.0,False,entrou,1,Vector
1178,,7.0,False,entrou,1,Vector
817,,8.0,False,entrou,1,Vector
807,,9.0,False,entrou,1,Vector
51,1.0,,True,saiu,1,BM25
486,2.0,3.0,False,manteve,1,BM25
878,3.0,,False,saiu,1,BM25
573,4.0,,False,saiu,1,BM25
12,5.0,,True,saiu,1,BM25
746,6.0,,False,saiu,1,BM25
944,7.0,,False,saiu,1,BM25
141,8.0,,False,saiu,1,BM25
329,9.0,,False,saiu,1,BM25
879,10.0,,True,saiu,1,BM25
1162,,1.0,False,entrou,1,BM25
184,,2.0,True,entrou,1,BM25
880,,4.0,True,entrou,1,BM25
783,,5.0,False,entrou,1,BM25
215,,6.0,False,entrou,1,BM25
758,,7.0,False,entrou,1,BM25
948,,8.0,False,entrou,1,BM25
860,,9.0,False,entrou,1,BM25
374,,10.0,False,entrou,1,BM25
