query_id,doc_id,rank_real
166,1264,21
178,591,21
111,15,21
191,948,21
217,1394,21
91,801,21
55,375,21
47,307,21
68,661,21
132,1024,21
125,173,22
45,570,22
38,24,22
158,552,22
89,420,22
11,27,22
188,728,22
189,867,22
211,769,22
1,184,22
191,285,23
125,973,23
128,985,23
40,85,23
151,1074,23
48,315,23
194,739,23
104,836,23
203,1307,23
210,891,23
39,24,23
73,160,24
186,1075,24
211,1174,24
132,1020,24
221,1370,24
1,14,24
188,724,24
37,173,25
208,1347,25
191,390,25
157,318,25
217,37,25
189,395,25
56,749,25
211,891,25
212,890,25
133,1020,25
132,1019,25
71,569,25
209,45,26
55,255,26
79,688,26
218,1393,26
67,389,26
151,1075,26
157,369,26
149,934,26
189,868,26
132,1016,27
45,308,27
188,723,27
203,232,27
131,1014,27
20,104,27
84,1192,27
224,1318,27
157,1151,28
125,971,28
38,558,28
168,774,28
57,704,28
84,606,28
210,1173,28
89,796,28
58,788,28
34,714,28
145,763,28
120,889,28
219,1107,29
11,160,29
98,712,29
145,852,29
35,132,29
178,588,29
1,56,29
222,1392,29
113,746,29
30,466,29
74,575,29
217,1395,30
194,741,30
190,285,30
202,1303,30
76,670,30
214,1361,30
92,1243,30
18,196,31
8,48,31
121,886,31
138,1036,31
100,824,31
220,479,31
175,966,32
224,1313,32
141,1042,32
195,742,32
57,593,32
77,670,32
186,923,32
89,795,33
80,597,33
51,629,33
60,478,33
194,742,33
114,916,33
1,875,33
190,864,33
37,121,33
84,962,34
89,794,34
109,606,34
137,1029,34
2,202,34
148,1049,34
220,1385,34
16,266,34
162,111,34
94,294,34
166,170,35
75,670,35
141,1038,35
94,689,35
199,743,35
125,174,35
116,927,35
23,698,35
186,924,35
4,236,35
7,58,35
8,360,35
23,1289,36
136,1022,36
218,1107,36
147,1051,36
2,658,36
23,919,37
21,16,37
149,1131,37
225,1381,37
9,550,37
209,1106,37
53,296,37
211,1052,37
209,487,38
63,567,38
11,262,38
39,79,38
131,1016,38
164,1367,38
26,1076,39
164,416,39
58,785,39
125,177,39
73,317,39
23,749,39
162,458,39
100,825,39
163,20,39
137,951,39
74,574,39
79,708,40
64,391,40
97,698,40
195,739,40
225,1124,40
70,24,40
140,1041,40
109,860,40
94,1395,41
194,743,41
220,155,41
199,1052,41
125,992,41
122,937,41
57,380,41
21,271,41
181,973,41
161,562,41
1,29,41
220,977,42
211,1173,42
10,438,42
192,736,42
224,1274,42
149,938,42
217,1107,43
90,311,43
91,797,43
224,1319,43
147,1048,43
46,572,44
176,585,44
111,914,44
212,889,44
77,666,44
156,1101,44
174,58,44
157,370,44
63,564,44
1,378,44
56,780,44
209,1385,44
23,917,45
129,990,45
213,889,45
134,1027,45
54,364,45
122,936,46
12,86,46
220,376,46
26,406,46
45,572,46
148,889,47
90,1367,47
218,1300,48
157,657,48
67,324,48
203,1306,48
201,318,48
125,994,49
10,1011,49
29,793,49
207,1338,49
189,865,49
212,843,49
2,497,49
57,859,50
53,449,50
176,982,50
157,1105,50
199,744,50
35,166,51
220,459,51
54,294,51
103,826,51
180,619,51
3,119,51
126,969,51
66,660,51
162,459,52
11,263,52
73,25,52
141,1039,52
5,1297,52
208,164,52
85,608,53
106,849,53
218,662,53
196,13,53
27,278,53
24,92,53
70,570,53
176,582,53
30,514,53
100,823,53
213,843,54
47,572,54
54,101,54
12,649,54
87,562,54
49,478,54
48,265,54
39,418,54
46,629,55
47,629,55
74,317,55
125,946,55
211,763,55
223,1392,56
9,21,56
220,1384,56
215,37,56
181,1061,56
140,1042,57
73,421,57
57,15,57
11,20,57
217,1300,58
90,291,59
201,552,59
8,58,59
164,798,59
179,683,59
175,965,59
157,44,60
73,1252,60
36,169,61
23,634,61
42,470,61
159,231,61
66,659,62
201,423,62
107,728,63
6,115,63
161,336,63
73,1213,63
221,1382,63
156,982,63
14,65,64
157,421,64
125,969,64
144,841,65
23,1141,66
43,39,66
204,63,67
212,886,67
109,12,67
210,1030,67
32,250,68
48,798,68
40,552,68
184,717,68
187,1045,68
219,666,69
90,798,69
46,1355,69
195,743,70
70,977,70
188,721,71
96,701,71
189,869,71
149,1052,72
26,376,72
117,605,72
147,1047,73
72,571,73
29,466,73
50,629,73
75,666,74
202,1304,74
175,964,74
122,1131,74
164,1364,74
109,861,75
218,24,75
54,560,75
67,128,75
45,798,76
118,925,76
110,863,76
38,556,76
100,1121,76
156,1103,77
204,307,77
110,31,77
157,666,77
220,1366,77
6,258,78
201,1391,79
53,299,79
176,584,80
212,891,80
70,307,80
16,196,80
158,998,80
104,833,80
159,234,80
162,155,80
69,62,80
219,1078,81
87,612,81
212,1176,81
50,22,82
201,369,82
148,1046,82
69,570,83
221,461,83
23,1290,84
37,97,84
84,406,85
1,142,85
54,661,86
204,1188,87
1,102,87
27,428,88
57,914,89
100,820,89
8,999,89
204,540,89
2,390,89
75,324,89
37,188,91
23,700,91
157,273,91
220,1382,92
90,1364,93
32,247,94
159,1108,94
129,984,94
157,1304,94
220,241,95
67,1302,95
73,1198,96
139,1035,96
98,708,96
68,62,97
66,180,97
225,225,98
221,241,98
160,1136,99
55,271,99
72,305,99
202,603,99
82,205,99
203,19,99
145,743,100
221,1365,100
204,655,101
96,702,101
199,1056,102
90,793,102
67,659,103
90,794,103
30,793,104
82,679,104
69,977,105
148,843,105
225,421,105
39,505,107
127,982,107
25,427,108
58,786,108
210,1174,109
54,24,110
157,36,111
56,643,111
65,1302,112
220,1386,112
217,667,113
62,567,113
2,184,115
71,1213,115
211,1031,115
71,798,116
107,75,116
84,1213,117
17,196,117
157,410,117
65,324,117
29,225,118
83,681,118
110,1174,119
92,809,119
125,972,119
1,497,119
71,655,119
45,338,120
186,1377,120
166,418,120
126,970,121
157,482,121
204,572,121
80,594,121
212,841,122
65,659,122
1,195,124
157,572,124
160,1137,124
30,612,124
58,787,124
105,845,125
220,1370,125
45,1355,125
151,1076,126
221,155,128
8,1005,129
73,655,129
2,391,130
220,1365,132
104,835,132
38,283,133
90,797,133
71,571,133
188,726,133
218,93,134
204,1355,135
217,1391,136
147,1046,136
160,1138,136
124,967,137
2,948,138
32,465,138
79,598,138
2,285,139
8,196,140
183,803,140
57,14,141
139,1037,141
45,663,142
159,1111,142
2,52,143
19,32,143
62,566,144
56,380,144
8,20,144
102,911,145
40,24,145
23,1333,145
62,1084,146
219,667,147
29,609,147
209,316,148
201,93,148
157,35,148
152,1076,151
220,1383,151
219,1081,152
48,316,153
220,150,154
219,1198,154
65,418,154
80,598,156
38,553,156
1,859,158
61,661,158
71,101,161
37,187,165
46,338,165
157,557,165
30,225,165
45,629,166
72,128,167
92,253,167
19,164,168
79,713,168
51,63,168
140,1043,168
221,1383,169
157,423,169
9,22,170
72,62,170
204,68,171
157,372,171
85,406,171
40,556,171
94,690,173
125,187,173
37,487,174
1,52,174
156,1104,175
48,187,176
218,1258,177
46,663,177
217,1258,178
75,378,182
160,1135,182
202,48,182
70,101,185
69,336,186
219,1394,186
62,1078,186
68,101,187
161,996,188
188,75,188
83,683,190
58,381,190
96,792,191
157,93,191
219,1395,192
219,1300,193
189,866,194
202,1305,195
1,880,196
26,565,198
202,1110,198
153,1084,198
72,323,199
97,1339,199
7,19,199
170,906,200
115,185,202
83,680,204
94,354,204
87,406,205
13,64,205
13,65,206
38,552,210
225,1062,210
23,544,211
90,256,211
1,95,211
157,1107,212
184,499,213
47,1355,213
140,1044,213
211,1030,215
209,1351,215
157,19,215
202,1308,215
159,1114,215
183,809,216
2,102,218
130,12,220
116,360,222
145,841,223
116,922,223
219,630,224
157,689,225
53,446,226
38,557,226
153,1085,226
21,414,228
50,94,235
73,1304,236
47,798,237
202,1306,239
166,74,240
28,224,243
23,199,243
54,628,245
1,858,245
10,998,246
221,459,247
57,746,254
126,187,258
147,822,259
128,990,259
97,681,261
219,662,262
179,681,263
214,833,264
153,1081,264
96,703,269
225,1074,271
217,668,272
23,594,273
46,1226,274
198,888,277
129,986,277
217,630,281
199,1055,281
218,630,282
57,780,284
191,915,285
120,829,288
1,30,291
217,670,291
219,1080,296
8,1112,296
122,932,299
39,552,299
23,597,300
23,900,301
59,787,303
218,667,303
201,110,305
193,731,306
127,983,306
219,1391,308
166,272,308
60,475,308
55,378,310
213,886,310
219,1213,316
40,557,319
65,128,320
28,279,322
201,482,323
219,1258,324
201,160,327
50,306,329
157,161,332
151,1077,334
225,1075,336
10,437,336
196,202,336
100,821,337
152,655,338
1,57,339
50,21,340
74,578,341
157,1106,341
203,688,344
40,553,347
87,606,347
225,1378,349
32,777,351
75,667,352
84,354,352
114,921,353
155,1104,353
219,1204,353
207,1341,357
219,1214,358
225,433,359
46,570,363
216,156,367
221,111,369
152,569,371
204,1213,371
39,555,373
202,604,379
7,20,379
23,901,381
19,67,381
83,682,383
73,68,383
13,265,385
225,40,392
170,672,395
220,62,395
46,798,396
204,604,398
23,704,400
2,858,401
203,603,407
203,1188,421
113,749,422
20,269,424
221,479,428
221,1385,429
13,311,430
43,775,430
57,379,433
151,687,434
58,382,434
23,593,437
51,381,438
221,1384,439
206,1340,442
38,555,454
225,161,454
12,194,459
153,1078,460
87,50,462
203,602,463
84,608,467
57,779,468
23,601,470
109,980,472
2,859,473
139,1032,476
204,603,480
56,379,480
225,924,480
72,494,481
204,602,485
209,1350,491
2,856,500
53,448,502
116,492,505
72,94,513
70,568,516
2,864,520
214,1363,520
158,273,522
2,380,524
38,554,530
211,1033,532
72,324,535
35,167,542
207,1339,546
196,876,546
224,1317,548
48,311,549
1,37,550
186,1280,550
48,314,550
209,1356,551
157,655,553
19,717,557
55,502,560
202,602,566
174,423,568
166,40,569
124,965,571
157,1355,572
42,775,575
92,803,578
47,1185,580
22,68,584
98,709,593
39,556,595
65,323,596
186,1378,596
207,1340,604
203,1305,607
125,974,611
45,1226,614
104,834,616
67,323,617
152,687,619
201,1304,620
1,462,621
23,200,624
23,201,625
115,878,632
196,185,633
70,283,637
1,185,638
70,333,641
221,150,641
90,335,642
57,705,643
1,66,645
164,335,645
37,172,647
91,794,650
87,611,651
225,1213,654
72,21,655
225,293,657
166,41,658
25,276,659
2,15,662
40,283,663
2,442,667
73,571,670
175,967,674
114,920,676
196,874,680
225,1280,691
157,302,696
157,605,697
32,249,714
44,302,729
219,559,730
152,572,735
158,556,738
139,1031,749
87,609,763
39,283,767
92,802,768
169,775,783
96,706,790
1,15,804
174,36,805
1,31,809
98,713,810
44,436,810
44,437,811
67,394,823
40,554,827
19,715,827
40,555,828
124,964,839
225,1379,848
203,604,851
73,1355,865
65,394,865
97,699,880
97,700,881
97,703,882
189,873,882
57,12,883
39,554,887
39,557,888
225,449,889
225,923,893
18,198,914
48,794,918
176,583,918
196,880,921
186,1304,937
68,460,941
186,161,941
72,388,950
23,687,955
76,324,960
23,705,961
157,1011,961
76,378,964
85,606,969
196,878,970
90,796,975
90,800,976
115,874,979
181,974,979
103,828,981
87,236,1005
183,802,1008
183,807,1009
19,716,1011
19,639,1014
19,1379,1027
186,1380,1027
56,705,1030
73,578,1031
186,421,1044
2,643,1045
72,655,1049
124,968,1062
156,983,1062
56,779,1068
91,793,1069
186,225,1073
30,609,1098
126,971,1099
126,972,1100
126,973,1101
155,983,1115
225,448,1129
2,857,1132
32,778,1138
65,384,1140
2,877,1140
156,1102,1157
157,1307,1158
203,323,1160
147,926,1166
207,879,1177
155,1103,1196
99,1001,1198
153,1080,1199
153,1083,1200
157,215,1201
199,1054,1201
80,596,1202
199,1060,1203
72,664,1205
189,872,1212
157,354,1215
149,1057,1257
159,1110,1257
19,719,1266
125,995,1278
187,840,1296
187,842,1297
31,776,1301
196,879,1304
23,1256,1312
152,1077,1314
204,1305,1370
186,1305,1376
184,1379,1382
71,1355,1382
225,1304,1386
225,1305,1387
225,1309,1389
186,1379,1394
225,1377,1397
