query_id,doc_id,rank,score
166,209,2,14.8282
23,892,1,14.8144
95,553,2,14.7894
217,1307,2,14.7809
78,578,2,14.7499
192,641,2,14.7194
48,526,1,14.6908
5,103,1,14.6501
79,1066,2,14.5382
115,486,1,14.5088
6,491,1,14.4553
69,128,1,14.4288
117,440,2,14.4132
13,903,2,14.3236
207,365,1,14.1421
143,930,2,14.1393
19,140,2,14.0785
123,742,2,13.8226
216,958,1,13.71
12,966,2,13.4694
196,486,2,13.3637
71,540,1,13.3403
150,799,1,13.2554
5,1032,2,13.2273
70,540,1,13.2154
203,1285,1,13.2028
175,941,1,13.1903
132,1021,2,13.1412
39,1205,1,13.1054
181,993,2,12.9973
125,993,2,12.9973
75,645,2,12.9485
116,1106,1,12.9468
91,924,2,12.9331
32,1259,2,12.9166
216,175,2,12.8154
115,746,2,12.7625
225,1188,1,12.7625
175,1221,2,12.7487
69,306,2,12.7242
59,381,1,12.6193
109,391,1,12.3726
71,573,2,12.2052
225,1349,2,12.1347
44,103,1,12.1053
116,522,2,12.091
219,1221,1,12.046
30,683,1,12.0264
151,433,1,12.0118
109,859,2,11.9704
40,1205,2,11.9631
204,147,1,11.9406
141,930,2,11.876
133,951,1,11.8468
57,1338,1,11.805
155,1065,2,11.7848
218,655,2,11.7806
59,292,2,11.5732
9,102,2,11.548
38,976,2,11.5119
35,1314,1,11.3781
219,208,2,11.354
133,1013,2,11.2113
44,108,2,11.1475
35,1208,2,11.0741
178,543,1,10.9601
57,753,2,10.9435
30,513,2,10.7911
106,764,2,10.7503
178,31,2,10.7467
28,674,1,10.6743
151,251,2,10.6673
28,762,2,10.4032
63,1135,1,10.2994
102,729,2,10.2727
37,186,1,10.2309
63,843,2,10.1908
207,189,2,10.0121
164,503,1,9.9814
186,557,1,9.8779
186,252,2,9.707
204,1080,2,9.4033
152,1362,1,9.1808
14,798,1,9.1529
14,170,2,9.1501
37,283,2,9.093
153,1063,1,9.0283
152,1339,2,8.8165
153,1088,2,8.8075
158,421,1,7.9839
90,979,1,7.1914
90,265,2,7.0029
83,1060,1,6.9684
83,1275,2,6.7435
184,1286,1,6.0628
184,207,2,5.5762
